,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,Endorsement Data,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Big Lie,Big Lie Date,Big Lie Recanvasser,Big Lie Notes,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Notes
James Rodgers,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Texas,3/1/2022,Representative,30,"3,754",31%,Made runoff,"3,090",57%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Carter,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Texas,3/1/2022,Representative,31,"50,887",71%,Won,N/A,N/A,N/A,Yes,11/11/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Abhiram Garapati,Male,Asian ,,,N/A,,Maya,,No,Yes,Texas,3/1/2022,Representative,31,"6,590",9%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Williams,Male,White,,,Yes,2/28/2023,Nathaniel,,No,Yes,Texas,3/1/2022,Representative,31,"14,115",20%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nathan Davis,Male,White,,,N/A,3/5/2023,Kaleigh,,No,No,Texas,3/1/2022,Representative,32,"3,549",16%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Darrell Day,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,32,"2,321",10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brad Namdar,Male,Latino,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,32,"2,270",10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
E.E. Okpa,Male,Black,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,32,"1,128",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Also known as Ejike, Edward"
Antonio Swad,Male,Latino,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Texas,3/1/2022,Representative,32,"8,962",40%,Made runoff,"6,929",57%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Justin Webb,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,32,"4,007",18%,Made runoff,"5,226",43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Patrick David Gillespie,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Texas,3/1/2022,Representative,33,"5,709",63%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Robert MacGlaflin,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,33,"3,284",37%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Juana Cantu-Cabrera,Female,Latino,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,34,"1,115",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mayra Flores,Female,Latino (Mexican),,,Yes,12/1/2022,N/A (checked against interactive),"""On January 6, Flores shared a photo of the crowd at the ""Stop the Steal"" rally, writing, ""If we allow the Democrats to steal THIS election, they will steal EVERY election moving forward!""""",No,No,Texas,3/1/2022,Representative,34,"9,490",60%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gregory Scott Kunkle Jr.,Male,Latino,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,34,"1,677",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Frank McCaffrey,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,34,"3,444",22%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bill Condict,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,35,"1,529",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jenai Aragona,Female,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,35,589,4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Marilyn Jackson,Female,Black,,,N/A,2/28/2023,Nathaniel,,No,No,Texas,3/1/2022,Representative,35,"1,473",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alejandro Ledezma,Male,Latino,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,35,833,6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dan McQueen,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Texas,3/1/2022,Representative,35,"2,900",21%,Made runoff,"4,161",61%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sam Montoya,Male,Latino,,,Yes,3/5/2023,Kaleigh,Participated in insurrection,No,No,Texas,3/1/2022,Representative,35,"1,227",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Asa George Kent Palagi,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,35,327,2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Rodriguez,Male,Unknown,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,35,"2,034",15%,Made runoff,"2,632",39%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dan Sawatzki,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,35,"1,414",10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jennifer Sundt,Female,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,35,"1,299",10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brian Babin,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Texas,3/1/2022,Representative,36,"59,381",100%,Won,N/A,N/A,N/A,Yes,2/17/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jeremiah Diacogiannis,Male,White,,,?,,Maya,,No,No,Texas,3/1/2022,Representative,37,"4,938",25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rod Lingsch,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,37,"5,403",28%,Made runoff,"4,791",41%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jenny Garcia Sharon,Female,White,,,Yes,12/1/2022,N/A (checked against interactive),"Tweeted at Biden, ""We did not choose you. Your corruption runs deep & it is doing everything in its power to steal an election."" (Previously a ""?"" based on an election-integrity mention on her website.)",No,No,Texas,3/1/2022,Representative,37,"9,087",47%,Made runoff,"6,923",59%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Phil Covarrubias,Male,Latino (Mexican),,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,38,228,0%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Alex Cross,Male,Unknown,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,38,460,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Jerry Ford,Male,Black,,,No,2/28/2023,Nathaniel,,No,No,Texas,3/1/2022,Representative,38,997,2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Brett Guillory,Male,White,,,Yes,3/5/2023,Kaleigh,,No,No,Texas,3/1/2022,Representative,38,"1,416",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
David Hogan,Male,White,,,Yes,,Maya,,No,No,Texas,3/1/2022,Representative,38,"3,125",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Wesley Hunt,Male,Black,,,N/A,12/1/2022,N/A (checked against interactive),"Changed from ""?"" based on an election-integrity mention on his website.",No,No,Texas,3/1/2022,Representative,38,"35,291",55%,Won,N/A,N/A,N/A,Yes,2/17/2022,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Roland Lopez,Male,Latino,,,N/A,2/28/2023,Nathaniel,,No,No,Texas,3/1/2022,Representative,38,"2,048",3%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Damien Matthew Peter Mockus,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,38,249,0%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Mark Ramsey,Male,White,,,Yes,3/5/2023,Kaleigh,,No,No,Texas,3/1/2022,Representative,38,"19,352",30%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Richard Welch,Male,White,,,N/A,,N/A (they are N/A),,No,No,Texas,3/1/2022,Representative,38,633,1%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Greg Abbott,Male,White,,,?,12/1/2022,N/A (checked against interactive),"Defended Texas's audit. Changed from ""Yes"" because his endorsement of the Paxton lawsuit was value-neutral.",Yes,No,Texas,3/1/2022,Governor,N/A,"1,299,059",66%,Won,N/A,N/A,N/A,Yes,6/1/2021,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Paul Belew,Male,White,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Governor,N/A,"11,387",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Danny Harrison,Male,White,,,?,,Maya,,No,Yes,Texas,3/1/2022,Governor,N/A,"10,829",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Kandy Kaye Horn,Female,White,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Governor,N/A,"23,605",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Don Huffines,Male,White,,,?,2/28/2023,Nathaniel,,No,Yes,Texas,3/1/2022,Governor,N/A,"234,138",12%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Rick Perry,Male,Unknown,,,N/A,,N/A (they are N/A),,No,Yes,Texas,3/1/2022,Governor,N/A,"61,424",3%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Chad Prather,Male,White,,,Yes,3/5/2023,Kaleigh,,No,Yes,Texas,3/1/2022,Governor,N/A,"74,173",4%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Allen B. West,Male,Black,,,Yes,,Maya,,No,Yes,Texas,3/1/2022,Governor,N/A,"239,557",12%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Todd Young,Male,White,,,No,12/1/2022,N/A (checked against interactive),Voted to certify election results,Yes,No,Indiana,5/3/2022,Senator,N/A,"372,738",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Jennifer-Ruth Green,Female,Black,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Indiana,5/3/2022,Representative,1,"14,616",47%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Mark Leyva,Male,Latino (Mexican),,,Yes,2/28/2023,Nathaniel,"""Two quick questions for you:
Does Mr. Leyva believe that Trump won the 2020 election? 
YES I DO!~

Does Mr. Leyva think the 2020 election was illegitimate?
YES AND THE TRUTH WILL SOON COME OUT!
""",No,No,Indiana,5/3/2022,Representative,1,"4,173",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Martin Lucas,Male,White,,,No,3/5/2023,Kaleigh,"""The Los Angeles Rams beat the Cincinnati Bengals in the Super Bowl.
Joe Biden beat Donald Trump for the presidency.
Both statements are historical facts.

I do not believe Donald Trump won the 2020 election.
I do not believe the election was illegitimate.""",No,No,Indiana,5/3/2022,Representative,1,"1,114",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Blair E. Milo,Female,White,,,?,4/28/2022,Maya,"Secondhand reporting that Milo ""expressed Trump-like doubts about the outcome of the 2020 presidential election and has called for further investigations of the result 'to ensure that people feel trust in the electoral process.'""",No,No,Indiana,5/3/2022,Representative,1,"6,964",22%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,
Nicholas Pappas,Male,White,,,N/A,,N/A (they are N/A),,No,No,Indiana,5/3/2022,Representative,1,"2,409",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Ben Ruiz,Male,Latino (Puerto Rican),,,Yes,2/28/2023,Nathaniel,"""social media and the MSM ... shuffled along dark money to various groups around the country during the 2020 elections to incite violence, chaos and steal an election by stuffing and shuffling inconsistent improper ballots and created ballot harvesting""",No,No,Indiana,5/3/2022,Representative,1,"1,054",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Aaron Storer,Male,White,,,No?,3/5/2023,Kaleigh,"""Just a heads up, I suspended my campaign but my answers below just in case 🙂

Do you believe that Trump won the 2020 election? 
A Republican congress certified that Joseph R. Biden won the 2020 election. Donald Trump was unable to prove in court that voter fraud occurred which meant that state results were unchanged.
Do you think the 2020 election was illegitimate? 
I think illegitimate may be the wrong word to describe the 2020 election.
Do I think there were some aspects of the election that were highly controversial such as ballot harvesting and unsupervised ballot drop boxes in battle ground states? Absolutely - the federal government should take steps to end these practices to make our elections more transparent.
Going back to the alleged voter fraud claims, while there may have been some highly suspect activities being reported in multiple battle ground states nothing was proved in court to overturn the election results. """,No,No,Indiana,5/3/2022,Representative,1,692,2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Withdrew 3/10
Jackie Walorski,Female,White,,,Yes,,Maya,Voted to overturn election,Yes,No,Indiana,5/3/2022,Representative,2,"36,928",100%,Won,N/A,N/A,N/A,Yes,4/29/2022,N/A,N/A,N/A,N/A,Yes,Yes,N/A,
Jim Banks,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"Had been ""declined to answer"" but he does say Biden is president",Yes,No,Indiana,5/3/2022,Representative,3,"54,033",100%,Won,N/A,N/A,N/A,Yes,4/27/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jim Baird,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Indiana,5/3/2022,Representative,4,"50,342",100%,Won,N/A,N/A,N/A,Yes,4/29/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Victoria Spartz,Female,White,,,No,12/1/2022,N/A (checked against interactive),Voted to certify election results,Yes,No,Indiana,5/3/2022,Representative,5,"47,128",100%,Won,N/A,N/A,N/A,Yes,4/29/2022,N/A,N/A,N/A,N/A,Yes,Yes,N/A,
James Dean Alspach,Male,White,,,N/A,,N/A (they are N/A),,No,Yes,Indiana,5/3/2022,Representative,6,"12,923",22%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Greg Pence,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted against certifying election,Yes,No,Indiana,5/3/2022,Representative,6,"44,893",78%,Won,N/A,N/A,N/A,Yes,4/29/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bill Allen,Male,White,,,N/A,4/19/2022,N/A (they are N/A),,No,No,Indiana,5/3/2022,Representative,7,"1,505",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Angela Grabovsky,Female,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Indiana,5/3/2022,Representative,7,"6,886",54%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Russell ""Rusty"" Scott Johnson",Male,White,,,Yes,2/28/2023,Nathaniel,"""I personally do believe there were many instances of fraud committed in the last election. From a man being pulled over with a car load of ballots to people voting more than once. When you have 8 people show up for Joe Biden's Rallies, then 10,000 to 60,000 show up for Donald Trumps Rallies, I believe something happened.

Now, I do not dwell on the past.  There is a reason why the rearview mirror is smaller than the windshield. We have to fix the issues and move on.""
",No,No,Indiana,5/3/2022,Representative,7,"2,185",17%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jennifer Pace,Female,White,,,?,3/5/2023,Kaleigh,"""""Your questions aren't just black and white there's a gray area...Software is not a secure method, software is pliable....it is always vulnerable.""""

""""I don't believe it was secure...it's hard to say [who won] ... We really don't know who won.""""",No,No,Indiana,5/3/2022,Representative,7,"1,556",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gerald Walters,Male,White,,,N/A,4/19/2022,N/A (they are N/A),,No,No,Indiana,5/3/2022,Representative,7,722,6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Larry D. Bucshon,Male,White,,,No,12/1/2022,N/A (checked against interactive),Voted to certify election results after Jan. 6,Yes,No,Indiana,5/3/2022,Representative,8,"47,557",100%,Won,N/A,N/A,N/A,Yes,4/29/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jim Baker,Male,White,,,N/A,2/28/2023,Nathaniel,,No,No,Indiana,5/3/2022,Representative,9,"2,946",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,
Stu Barnes-Israel,Male,White,,,N/A,4/22/2022,N/A (they are N/A),,No,No,Indiana,5/3/2022,Representative,9,"12,193",21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,
J. Michael Davisson,Male,White,,,N/A,3/5/2023,Kaleigh,Has concerns about election integrity,No,No,Indiana,5/3/2022,Representative,9,"1,597",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,
Dan Heiwig,Male,White,,,N/A,4/22/2022,N/A (they are N/A),,No,No,Indiana,5/3/2022,Representative,9,919,2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,
Erin Houchin,Female,White,,,?,12/1/2022,N/A (checked against interactive),Has concerns about election integrity,No,No,Indiana,5/3/2022,Representative,9,"21,697",37%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,
D. Eric Schansberg,Male,White,,,N/A,4/22/2022,N/A (they are N/A),"Reached out to campaign; Wrote a blog post approving of another article that said Trump lied when contesting 2020 election, but no direct stance",No,No,Indiana,5/3/2022,Representative,9,"1,559",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,
Mike Sodrel,Male,White,,,N/A,4/22/2022,N/A (they are N/A),,No,No,Indiana,5/3/2022,Representative,9,"15,008",26%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,
Bill J. Thomas,Male,White,,,N/A,4/22/2022,N/A (they are N/A),,No,No,Indiana,5/3/2022,Representative,9,756,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,
Brian Tibbs,Male,White,,,N/A,4/22/2022,N/A (they are N/A),,No,No,Indiana,5/3/2022,Representative,9,"1,461",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,
Matt Dolan,Male,White,,,No?,4/22/2022,Maya,"Said in a debate that he didn't think the 2020 election was stolen, but has concerns about election integrity",No,No,Ohio,5/3/2022,Senator,N/A,"249,239",23%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,No,No,
Mike Gibbons,Male,White,,,Yes,2/28/2023,Nathaniel,Said in a debate that he thought the 2020 election was stolen,No,No,Ohio,5/3/2022,Senator,N/A,"124,653",12%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,No,No,
Josh Mandel,Male,White,,,Yes,3/5/2023,Kaleigh,Said in a debate that he thought the 2020 election was stolen,No,No,Ohio,5/3/2022,Senator,N/A,"255,854",24%,Lost,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,No,No,No,
Neil Patel,Male,Asian (Indian),,,Yes,4/22/2022,Maya,Said in a debate that he thought the 2020 election was stolen,No,No,Ohio,5/3/2022,Senator,N/A,"9,873",1%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,No,No,
Mark Pukita,Male,White,,,Yes,2/28/2023,Nathaniel,Said in a debate that he thought the 2020 election was stolen,No,No,Ohio,5/3/2022,Senator,N/A,"22,692",2%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,No,No,No,
Jane Timken,Female,White,,,Yes,5/2/2023,Kaleigh,Said in a debate that he thought the 2020 election was stolen,No,No,Ohio,5/3/2022,Senator,N/A,"62,779",6%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,Yes,Yes,Yes,
J.D. Vance,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Said in a debate that he thought the 2020 election was stolen,No,No,Ohio,5/3/2022,Senator,N/A,"344,736",32%,Won,N/A,N/A,N/A,Yes,4/15/2022,No,N/A,N/A,N/A,No,No,No,
Steve Chabot,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Ohio,5/3/2022,Representative,1,"45,450",100%,Won,N/A,N/A,N/A,Yes,4/23/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
James J. Condit Jr.,Male,White,,,Yes,4/22/2022,Maya,Supported election fraud conspiracies,No,Yes,Ohio,5/3/2022,Representative,2,"9,250",13%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brad Wenstrup,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"Originally supported objections to election results, but voted to certify after Jan. 6; still has concerns about election fraud but says Biden is president",Yes,No,Ohio,5/3/2022,Representative,2,"56,805",77%,Won,N/A,N/A,N/A,Yes,4/21/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David J. Windisch,Male,Unknown,,,N/A,4/22/2022,N/A (they are N/A),,No,Yes,Ohio,5/3/2022,Representative,2,"7,382",10%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lee R. Stahley,Male,White,,,Declined to answer,12/1/2022,N/A (checked against interactive),"""First, do I think President Trump won the 2020 presidential election? Honestly, this is a matter for the past. There is nothing that can be done to change the outcome of the election. We are two years into the Biden administration, and instead of focusing on whether or not someone won an election two years ago, I am focused on winning my election and bringing positive change to my district and to this country.

With that said, I do think we can learn from the past. It is clear that there are inconsistencies with the election process. There is significant evidence showing interference from foreign entities and voter fraud benefiting both sides of the aisle. We need to reevaluate and reform our voting systems here in the United States. We can no longer allow room for error when it comes to electing someone to the highest political office in this nation. The United States was founded on the idea that our government is one that is for the people by the people. If we continue to allow this interference and fraud, we lose that ideology, and it will begin to deteriorate the very foundation of democracy.""",No,No,Ohio,5/3/2022,Representative,3,"30,250",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jim Jordan,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),"Voted to overturn election, but now says he never said the election was stolen",Yes,No,Ohio,5/3/2022,Representative,4,"86,576",100%,Won,N/A,N/A,N/A,Yes,4/6/2022,N/A,N/A,No,N/A,N/A,N/A,N/A,
Bob Latta,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"Supported Texas lawsuit to overturn election results, but later voted to certify",Yes,No,Ohio,5/3/2022,Representative,5,"69,981",100%,Won,N/A,N/A,N/A,Yes,4/29/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Anderson,Male,White,,,Yes,2/28/2023,Nathaniel,Believes election was stolen,No,Yes,Ohio,5/3/2022,Representative,6,"9,772",12%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bill Johnson,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted to overturn election,Yes,No,Ohio,5/3/2022,Representative,6,"63,578",78%,Won,N/A,N/A,N/A,Yes,4/21/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael S. Morgenstern,Male,White,,,N/A,4/22/2022,N/A (they are N/A),,No,Yes,Ohio,5/3/2022,Representative,6,"5,466",7%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gregory M. Zelenitz,Male,White,,,?,3/5/2023,Kaleigh,"""Hi Brittany, In response to your question of inproprieties in the 2020 election I do think there were problems. I do not think we will ever know to what extent it went to effect the election . One point I have to make if Trump would have won and Biden lost the mainstream media would still be investigating.I cant think of a single individual that I spoken with that disagrees . Look I am not trying to be a smart ass, I appreciate your interest  in my thoughts on this. But i think the media looks at Midwest voters as stupid hicks who just sit on their porches and pick their banjos I guess I am with most conservatives.If the Media is ignoring it there must be something there.Brittany feel free to call or email anytime   Greg Zelenitz""",No,Yes,Ohio,5/3/2022,Representative,6,"2,736",3%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Anthony Leon Alexander,Male,Black,,,N/A,4/22/2022,N/A (they are N/A),,No,No,Ohio,5/3/2022,Representative,7,"3,033",5%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,
Charlie Gaddis,Male,White,,,?,4/25/2022,Maya,"""When it comes to voter integrity, I have a unique position in my vote by app letter to the editor.  I do not believe that we should accept that there was not “that much fraud”.  I believe that republicans wand ALL Americans to vote, but just Americans.""",No,No,Ohio,5/3/2022,Representative,7,"5,581",9%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,
Max Miller,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Helped arrange Trump's Jan. 6 rally; website calls for securing elections,No,No,Ohio,5/3/2022,Representative,7,"43,158",72%,Won,N/A,N/A,N/A,Yes,2/26/2021,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
