,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,Misc. Stuff
David Schmidt,Male,white,,,N/A,no website,Irena,5/28/24,No,Yes,New Jersey,6/4/24,Representative,4,,6538,15.05%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Christopher H. Smith,Male,white,,,No mention,"No issues on site, but has endorsement from Right to Life",Irena,5/28/24,Yes,No,New Jersey,6/4/24,Representative,4,H8NJ04014,36897,84.95%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Mary Jo Guinchard,Female,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,5/28/24,No,No,New Jersey,6/4/24,Representative,5,,21321,69.77%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
George J. Song,Male,asian (korean),,,No mention,"Has issues on site, no mention of abortion or in about",Irena,5/28/24,No,No,New Jersey,6/4/24,Representative,5,,9238,30.23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Scott Fegler,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,5/28/24,No,No,New Jersey,6/4/24,Representative,6,,15215,81.56%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gregg Mele,Male,white,,,Other,"Has issues on site, no mention of abortion or in about",Irena,5/28/24,No,No,New Jersey,6/4/24,Representative,6,,3440,18.44%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Roger Bacon,Male,white,,,No mention,No issues or about on site,Irena,5/28/24,No,Yes,New Jersey,6/4/24,Representative,7,,10460,21.75%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Thomas H. Kean Jr.,Male,white,,,No mention,"no issues on page, but in bio doesn't mention abortion terms",Irena,5/28/24,Yes,No,New Jersey,6/4/24,Representative,7,H0NJ07261,37623,78.25%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Anthony Valdes,Male,hispanic (presumed),,,N/A,no website,Irena,5/28/24,No,No,New Jersey,6/4/24,Representative,8,,4905,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hector L. Castillo,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,5/28/24,No,No,New Jersey,6/4/24,Representative,9,,4352,27.45%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Billy Prempeh,Male,black,,,Pro-Life,,Irena,5/28/24,No,No,New Jersey,6/4/24,Representative,9,,11504,72.55%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Carmen Bucco,Male,hispanic,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,5/28/24,No,No,New Jersey,6/4/24,Representative,10,,5264,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Raafat Barsoom,Male,middle eastern (Egyptian),,,No mention,"Has issues on site, no mention of abortion or in about",Irena,5/28/24,No,No,New Jersey,6/4/24,Representative,11,,1464,4.96%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joseph Belnome,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,5/28/24,No,No,New Jersey,6/4/24,Representative,11,,25608,86.82%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John F. Sauers,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,5/28/24,No,No,New Jersey,6/4/24,Representative,11,,2425,8.22%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Thomas E. Jones Jr.,Male,,,,N/A,no website,Irena,5/28/24,No,No,New Jersey,6/4/24,Representative,12,,2732,15.62%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Darius Mayfield,Male,black,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,5/28/24,No,No,New Jersey,6/4/24,Representative,12,,14753,84.38%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Curtis Bashaw,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,5/28/24,No,No,New Jersey,6/4/24,Senator,N/A,,144869,45.57%,Won,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Christine Serrano Glassner,Female,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,5/28/24,No,No,New Jersey,6/4/24,Senator,N/A,,121986,38.38%,Lost,N/A,N/A,N/A,Yes,5/11/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Albert Harshaw,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,5/28/24,No,No,New Jersey,6/4/24,Senator,N/A,,15064,4.74%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Justin Murphy,Male,white,,,Pro-Life,supports exceptions,Irena,5/28/24,No,No,New Jersey,6/4/24,Senator,N/A,,35954,11.31%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steve Jones,Male,white,,,No mention,"has issues on site, no mention of abortion, or in ""about""",Meredith,5/22/24,No,No,New Mexico,6/4/24,Representative,1,,16889,51.38%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Louie Sanchez,Male,hispanic,,,No mention,"has issues on site, no mention of abortion, or in ""about""",Meredith,5/22/24,No,No,New Mexico,6/4/24,Representative,1,,15980,48.62%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Yvette Herrell,Female,white,,,No mention,"At some point after Meredith's entry (definitely by 6/5/24 when Holly checked), she added a page to her site -- both of our backups are available on Drive, though we keep the known pre-primary response. She now says that she agrees with the Dobbs decision, because it turns the abortion issue back to the states. She also says ""I support exceptions for rape, incest and the life of the mother""",Meredith,5/22/24,No,No,New Mexico,6/4/24,Representative,2,,23216,100.00%,Won,N/A,N/A,N/A,Yes,6/3/24,N/A,Yes,N/A,N/A,N/A,N/A,Yes,Yes,N/A,
Sharon E. Clahchischilliage,Female,native american,,,No mention,"no issues on page, but in bio doesn't mention abortion terms",Meredith,5/22/24,No,No,New Mexico,6/4/24,Representative,3,,24959,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nella Louise Domenici,Female,white,,,No mention,"no issues on page, but in bio doesn't mention abortion terms",Meredith,5/22/24,No,No,New Mexico,6/4/24,Senator,N/A,,79809,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,
Dusty Johnson,Male,white,,,Pro-Life,,Meredith,5/26/24,Yes,No,South Dakota,6/4/24,Representative,1,H8SD01055,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Andrew Piantidosi,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,5/28/24,No,No,Maine,6/11/24,Representative,1,,12220,43.22%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ronald C. Russell,Male,white,,,N/A,no website,Irena,5/28/24,No,No,Maine,6/11/24,Representative,1,,16055,56.78%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Soboleski,Male,white,,,No mention,"no issues on page, but in bio doesn't mention abortion terms",Irena,5/28/24,No,No,Maine,6/11/24,Representative,2,,13419,33.40%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Austin Theriault,Male,white,,,No mention,"no issues on page, but in bio doesn't mention abortion terms",Irena,5/28/24,No,No,Maine,6/11/24,Representative,2,,26757,66.60%,Won,N/A,N/A,N/A,Yes,3/27/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Demi Kouzounas,Female,white (greek),,,No mention,website is just a donate page,Irena,5/28/24,No,No,Maine,6/11/24,Senator,N/A,,58832,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jim Blockey,Male,white,,,N/A,no website,Irena,6/6/24,No,No,Nevada,6/11/24,Representative,1,,1487,5.08%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Boris,Male,latino,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,6/6/24,No,No,Nevada,6/11/24,Representative,1,,1279,4.37%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Flemming Larsen,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,6/6/24,No,No,Nevada,6/11/24,Representative,1,,11434,39.09%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark Robertson,Male,white,,,Other,personally Pro-Life but says abortion is settled law in Nevada,Irena,6/6/24,No,No,Nevada,6/11/24,Representative,1,,14102,48.21%,Won,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Evan Stone,Male,Unknown,,,No mention,"no issues on page, but in bio doesn't mention abortion terms",Irena,6/6/24,No,No,Nevada,6/11/24,Representative,1,,950,3.25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark E. Amodei,Male,white,,,Pro-Life,"""protect life""",Irena,6/6/24,Yes,No,Nevada,6/11/24,Representative,2,H2NV02395,44098,64.20%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
"Fred J. ""Doc"" Simon Jr.",Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,6/6/24,No,Yes,Nevada,6/11/24,Representative,2,,24592,35.80%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Elizabeth Helgelien,Female,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,6/6/24,No,No,Nevada,6/11/24,Representative,3,,6784,20.61%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Drew Johnson,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,6/6/24,No,No,Nevada,6/11/24,Representative,3,,10519,31.96%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steven London,Male,white,,,N/A,no website,Irena,6/6/24,No,No,Nevada,6/11/24,Representative,3,,495,1.50%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brian Nadell,Male,white,,,Pro-Life,,Irena,6/6/24,No,No,Nevada,6/11/24,Representative,3,,446,1.35%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Marty O'Donnell,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,6/6/24,No,No,Nevada,6/11/24,Representative,3,,6727,20.44%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steven M. Schiffman,Male,white,,,Other,"""Steve believes that banning early-to midterm abortion, per se, is outside the proper role of government.""",Irena,6/6/24,No,No,Nevada,6/11/24,Representative,3,,594,1.80%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dan Schwartz,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,6/6/24,No,No,Nevada,6/11/24,Representative,3,,7351,22.33%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David A. Flippo,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,6/6/24,No,No,Nevada,6/11/24,Representative,4,,15678,45.29%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bruce Frazey,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,6/6/24,No,No,Nevada,6/11/24,Representative,4,,2241,6.47%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Lee,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,6/6/24,No,No,Nevada,6/11/24,Representative,4,,16699,48.24%,Won,N/A,N/A,N/A,Yes,6/3/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sam Brown,Male,white,,,Other,"personally Pro-Life, but would not support national abortion ban because it would overturn the decision of Nevadans",Irena,6/6/24,No,No,Nevada,6/11/24,Senator,N/A,,103102,60.17%,Won,N/A,N/A,N/A,Yes,6/9/24,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
"Bill ""Green Beret"" Conrad",Male,white,,,Pro-Life,,Irena,6/6/24,No,No,Nevada,6/11/24,Senator,N/A,,6038,3.52%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,
"Walter A. ""Tony"" Grady Jr.",Male,black,,,Pro-Life,,Irena,6/6/24,No,No,Nevada,6/11/24,Senator,N/A,,9565,5.58%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,
Jeff Gunter,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,6/6/24,No,No,Nevada,6/11/24,Senator,N/A,,24987,14.58%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,
"E.T. ""Eddynomics"" Hamilton",Male,hispanic,,,No mention,No issues or about page,Irena,6/6/24,No,No,Nevada,6/11/24,Senator,N/A,,478,0.28%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,
Ronda Kennedy,Female,black,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,6/6/24,No,No,Nevada,6/11/24,Senator,N/A,,1786,1.04%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,
Barry Cameron Lindemann,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,6/6/24,No,No,Nevada,6/11/24,Senator,N/A,,852,0.50%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,
Garn Mabey,Male,white,,,Other,"""My personal beliefs are abortion may be appropriate...""",Irena,6/6/24,No,No,Nevada,6/11/24,Senator,N/A,,1818,1.06%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,
Jim Marchant,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Irena,6/6/24,No,No,Nevada,6/11/24,Senator,N/A,,11190,6.53%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,
Gary A. Marinch,Male,white,,,N/A,no website,Irena,6/6/24,No,No,Nevada,6/11/24,Senator,N/A,,231,0.13%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,
Stephanie Phillips,Female,white,,,Other,Pro-Life but says no elected official can ban abortion,Irena,6/6/24,No,No,Nevada,6/11/24,Senator,N/A,,3828,2.23%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,
Vincent G. Rego,Male,white,,,Other,Left to the states,Irena,6/6/24,No,No,Nevada,6/11/24,Senator,N/A,,311,0.18%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,
Julie Fedorchak,Female,white,,,Pro-Life,"""sanctity of life""",Mary,6/7/24,No,No,North Dakota,6/11/24,Representative,1,,43424,45.93%,Won,N/A,N/A,N/A,Yes,5/30/24,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,Yes,
Alexander C. Balazs,Male,white,,,No mention,"no issues on page, but in bio doesn't mention abortion terms",Mary,6/7/24,No,No,North Dakota,6/11/24,Representative,1,,3788,4.01%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,No,
Rick Becker,Male,white,,,Pro-Life,"""sanctity and respect for life""",Mary,6/7/24,No,No,North Dakota,6/11/24,Representative,1,,27965,29.58%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,No,
Sharlet Mohr,Female,white,,,N/A,no website,Mary,6/7/24,No,No,North Dakota,6/11/24,Representative,1,,800,0.85%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,No,
Cara Mund,Female,white,,,Other,"""As an advocate for limited government, women’s health care should never be in the hands of the federal government. North Dakota does not have a clinic that performs elective abortions; this truly is an issue of women’s reproductive health care""",Mary,6/7/24,No,No,North Dakota,6/11/24,Representative,1,,18460,19.52%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,No,
Tammy Miller,Female,white,,,No mention,"Has issues on site, no mention of abortion or in about",Mary,6/7/24,No,No,North Dakota,6/11/24,Governor,N/A,,24967,26.65%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kelly Armstrong,Male,white,,,Pro-Life,,Mary,6/7/24,No,No,North Dakota,6/11/24,Governor,N/A,,68152,72.75%,Won,N/A,N/A,N/A,Yes,5/30/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kevin Cramer,Male,white,,,Pro-Life,,Mary,6/7/24,Yes,No,North Dakota,6/11/24,Senator,N/A,S8ND00120,82692,97.74%,Won,N/A,N/A,N/A,Yes,3/11/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Nancy Mace,Female,white,,,Other,"""there is no consensus on banning any and all abortions outright""",Mary,6/7/24,Yes,No,South Carolina,6/11/24,Representative,1,H0SC01394,28300,56.78%,Won,N/A,N/A,N/A,Yes,3/9/24,Yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,No,
Catherine Templeton,Female,white,,,Pro-Life,,Mary,6/7/24,No,Yes,South Carolina,6/11/24,Representative,1,,14849,29.79%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,No,N/A,N/A,No,N/A,Yes,
Bill Young,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Mary,6/7/24,No,Yes,South Carolina,6/11/24,Representative,1,,6691,13.42%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,No,N/A,N/A,No,N/A,No,
Hamp Redmond,Male,white,,,Other,"""Personally I’m against abortion, but I feel it should be left up to the states.""",Mary,6/7/24,No,Yes,South Carolina,6/11/24,Representative,2,,12085,26.06%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Joe Wilson,Male,white,,,N/A,website down,Mary,6/7/24,Yes,No,South Carolina,6/11/24,Representative,2,H2SC02059,34292,73.94%,Won,N/A,N/A,N/A,Yes,2/29/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Sheri Biggs,Female,white,,,Pro-Life,"""sanctity of life""",Mary,6/7/24,No,No,South Carolina,6/11/24,Representative,3,,23523,28.82%,Made runoff,28156,50.99%,Won,No,N/A,N/A,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,
Kevin Bishop,Male,white,,,Pro-Life,,Mary,6/7/24,No,No,South Carolina,6/11/24,Representative,3,,8972,10.99%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,
Mark Burns,Male,black,,,No mention,"Has issues on site, no mention of abortion or in about",Mary,6/7/24,No,No,South Carolina,6/11/24,Representative,3,,27069,33.16%,Made runoff,27064,49.01%,Lost,Yes,4/1/24,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,
Franky Franco,Male,hispanic (ecuadorian and cuban),,,Pro-Life,,Mary,6/7/24,No,No,South Carolina,6/11/24,Representative,3,,3494,4.28%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,
Phil Healy,Male,white,,,Pro-Life,,Mary,6/7/24,No,No,South Carolina,6/11/24,Representative,3,,1552,1.90%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,
Stewart O. Jones,Male,white,,,Pro-Life,"""protection of life""",Mary,6/7/24,No,No,South Carolina,6/11/24,Representative,3,,15260,18.70%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,
Elspeth Snow Murday,Female,white,,,Pro-Life,"""Pro-life, pro-IVF, and against anti-family legislation which reduces women’s healthcare access and increases pregnancy risks for both women and babies""",Mary,6/7/24,No,No,South Carolina,6/11/24,Representative,3,,1754,2.15%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,No,N/A,N/A,
Adam Morgan,Male,white,,,Pro-Life,,Mary,6/7/24,No,Yes,South Carolina,6/11/24,Representative,4,,34269,48.40%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
William Timmons,Male,white,,,Pro-Life,,Mary,6/7/24,Yes,No,South Carolina,6/11/24,Representative,4,H8SC04250,36533,51.60%,Won,N/A,N/A,N/A,Yes,2/29/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Ralph W. Norman,Male,white,,,Pro-Life,"About page lists: ""Endorsed by the National Right to Life PAC""",Mary,6/7/24,Yes,No,South Carolina,6/11/24,Representative,5,H8SC05158,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Duke Buckner,Male,black,,,Pro-Life,,Mary,6/7/24,No,No,South Carolina,6/11/24,Representative,6,,10145,55.76%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Justin Scott,Male,white,,,No mention,"Has issues on site, no mention of abortion or in about",Mary,6/7/24,No,No,South Carolina,6/11/24,Representative,6,,8050,44.24%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Russell Fry,Male,white,,,Pro-Life,"""defend the unborn""",Mary,6/7/24,Yes,No,South Carolina,6/11/24,Representative,7,H2SC07280,1,100.00%,Won,N/A,N/A,N/A,Yes,2/29/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Kevin Hern,Male,white,,,Pro-Life,"he has a ""promises kept"" page, which is issue positions",Meredith,6/7/24,Yes,No,Oklahoma,6/18/24,Representative,1,H8OK01157,30244,87.04%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Paul Royse,Male,white,,,Pro-Life,,Meredith,6/7/24,No,Yes,Oklahoma,6/18/24,Representative,1,,4504,12.96%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Josh Brecheen,Male,white,,,Pro-Life,,Meredith,6/7/24,Yes,No,Oklahoma,6/18/24,Representative,2,H2OK02315,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Robin Lynn Carder,Female,white,,,No mention,"has issues but no about page, does not mention abortion",Meredith,6/7/24,No,Yes,Oklahoma,6/18/24,Representative,3,,6651,13.07%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Darren Hamilton,Male,white,,,No mention,"has issues and about page, does not mention abortion",Meredith,6/7/24,No,Yes,Oklahoma,6/18/24,Representative,3,,7087,13.92%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Frank D. Lucas,Male,white,,,Pro-Life,,Meredith,6/7/24,Yes,No,Oklahoma,6/18/24,Representative,3,H4OK06056,37158,73.01%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Paul L. Bondar,Male,white,,,No mention,,Meredith,6/7/24,No,Yes,Oklahoma,6/18/24,Representative,4,,16127,25.80%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Tom Cole,Male,white,,,Pro-Life,,Meredith,6/7/24,Yes,No,Oklahoma,6/18/24,Representative,4,H2OK04055,40393,64.63%,Won,N/A,N/A,N/A,Yes,5/7/24,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,
Nick Hankins,Male,white,,,No mention,"has issues and about page, does not mention abortion",Meredith,6/7/24,No,Yes,Oklahoma,6/18/24,Representative,4,,1257,2.01%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Rick Whitebear Harris,Male,white,,,N/A,no website,Meredith,6/7/24,No,Yes,Oklahoma,6/18/24,Representative,4,,2171,3.47%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Andrew Hayes,Male,white,,,N/A,no website,Meredith,6/7/24,No,Yes,Oklahoma,6/18/24,Representative,4,,2551,4.08%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Stephanie Bice,Female,middle eastern (iranian),white (dutch),,Pro-Life,,Meredith,6/7/24,Yes,No,Oklahoma,6/18/24,Representative,5,H0OK05205,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,
Robert J. Wittman,Male,white,,,Pro-Life,"""sanctity of life""",Mary,6/7/24,Yes,No,Virginia,6/18/24,Representative,1,H8VA01147,1,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
